run_id,episode_id,algorithm,scene_id,scene_split,training_seed,seed,config_version,git_commit,git_dirty,submodule_commits_json,policy_checkpoint_sha256,scenario_manifest_sha256,localization_mode,success,collision,terminated,truncated,termination_reason,path_length,navigation_time,path_efficiency,smoothness,linear_acc_rms,angular_acc_rms,min_obstacle_distance,near_collision_time_ratio,parameter_adjustment_count,parameter_total_variation,projection_intervention_count,safety_filter_intervention_count,safety_fallback_count,fallback_duration,fallback_recovery_count,planner_failure_count,candidate_parameter_violation_count,semantic_direction_consistency,inference_latency_mean,parameter_write_latency_mean,parameter_activation_latency_mean,operator_intervention_count,bag_uri,notes
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000001,RL-TEB-Eta-ProjectionOnly,t11-test-id-clear-straight,test_id,104,201,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,2.965781739595551,3.5460000000000003,0.9964794024793667,0.21322374808551148,,,30.0,0.0,4,0.12739694834378162,0,0,0,0.0,0,0,0,,2.0494677510214387,27.00000000000003,80.00000000000018,0,,T11 test phase; undiscounted_return=20.0654674
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000002,RL-TEB-Eta-ProjectionOnly,t11-test-id-left,test_id,104,201,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,3.991597005891039,4.454,0.962881832617994,0.23716625832057098,,,30.0,0.0,6,0.4908317837687007,5,0,0,0.0,0,0,5,,1.739052166158217,25.33333333333321,77.9999999999997,0,,T11 test phase; undiscounted_return=23.2927502
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000003,RL-TEB-Eta-ProjectionOnly,t11-test-id-obstacle,test_id,104,201,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,5.971510023909158,6.639999999999999,0.8644165513550632,0.33939925375141816,,,0.35130374350697274,0.0,9,1.4246801175730117,1,0,0,0.0,0,0,1,,1.8495669986198966,28.222222222222566,66.00000000000033,0,,T11 test phase; undiscounted_return=26.9256324
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000004,RL-TEB-Eta-ProjectionOnly,t11-test-id-corridor,test_id,104,201,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,5.059839415978506,5.66,1.0008058166685787,0.19005690674545028,,,0.4282166865469775,0.0,8,4.755332794360642,7,0,0,0.0,0,0,7,,1.375963125610724,25.500000000000966,76.00000000000007,0,,T11 test phase; undiscounted_return=28.1623281
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000005,RL-TEB-Eta-ProjectionOnly,t11-test-id-clear-straight,test_id,104,202,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,3.0878477241197078,3.646000000000001,0.9995980079559061,0.15384891319333271,,,30.0,0.0,4,0.1851959295427367,0,0,0,0.0,0,0,0,,1.9723404993783333,27.500000000001634,55.00000000000149,0,,T11 test phase; undiscounted_return=20.0563529
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000006,RL-TEB-Eta-ProjectionOnly,t11-test-id-left,test_id,104,202,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,4.130135745335497,4.562000000000001,0.9643363675082565,0.18993954020452675,,,30.0,0.0,6,0.4930490053141094,5,0,0,0.0,0,0,5,,2.430308667802213,26.33333333333236,53.99999999999909,0,,T11 test phase; undiscounted_return=24.7642588
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000007,RL-TEB-Eta-ProjectionOnly,t11-test-id-obstacle,test_id,104,202,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,6.039758503164708,6.840000000000003,0.8638466875130446,0.40853720871988486,,,0.3407299451667403,0.0,10,1.598642929738626,2,0,0,0.0,0,0,2,,1.9120498003758257,25.39999999999978,78.00000000000011,0,,T11 test phase; undiscounted_return=28.193471
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000008,RL-TEB-Eta-ProjectionOnly,t11-test-id-corridor,test_id,104,202,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,4.905190441695041,5.841999999999999,0.9994730276644707,0.21622161353918595,,,0.4410368935001368,0.0,8,4.4925122915186,8,0,0,0.0,0,0,8,,1.9679849997373822,23.249999999999105,74.74999999999987,0,,T11 test phase; undiscounted_return=26.8513755
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000009,RL-TEB-Eta-ProjectionOnly,t11-test-id-clear-straight,test_id,104,203,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,2.946944936187496,3.534000000000006,1.0004997497019348,0.16554219250481303,,,30.0,0.0,4,0.08931902154375414,0,0,0,0.0,0,0,0,,1.5170009992289124,26.999999999999247,103.9999999999992,0,,T11 test phase; undiscounted_return=19.5601227
t11_semantic_eta_projection_only_seed104,t11_semantic_eta_projection_only_seed104-episode-000010,RL-TEB-Eta-ProjectionOnly,t11-test-id-left,test_id,104,203,t11_gazebo_formal_v1+ProjectionOnly,e9b9a9e17ac5e7e35d95eec2a7ad7c7667049da7,true,{},be564cb7ed5fe8627e4f6fe704e4d814405492f5c4726b1a3f49e1b9bbbe79a3,7bd16763e0c650dd14798c7b42d22c312d871906ff5cae53e5f8ed1e9de71f4f,gazebo,true,false,true,false,goal,4.101961558782608,4.560000000000002,0.963540347274617,0.24897084027303554,,,30.0,0.0,6,0.4393789119700879,5,0,0,0.0,0,0,5,,1.6891625000425847,25.666666666664877,62.999999999998835,0,,T11 test phase; undiscounted_return=24.3624349
