run_id,episode_id,step_id,scene_id,scene_split,training_seed,evaluation_seed,clearance,speed,ttc,original_safety_mode,optimized_safety_mode,ood_score,projection_modified,candidate_l1,smoothed_l1,projected_l1,recommendation_l1,write_allowed,motion_allowed,reasons_json,recommended_theta_json
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000169,0,t11-test-id-clear-straight,test_id,101,201,30.0,1.1655149439467596,25.739695707728647,NORMAL,NORMAL,0.0,False,0.0029095840519335336,0.0010183544181767146,0.0010183544181767146,0.0010183544181767146,False,False,[],"{""acc_lim_theta"":0.7995633793603516,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25058173377852827,""weight_obstacle"":50.0,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000169,1,t11-test-id-clear-straight,test_id,101,201,30.0,1.16563984694505,25.73693759579776,NORMAL,NORMAL,0.0,False,0.1629667812350195,0.056514487894814114,0.056514487894814114,0.056514487894814114,False,False,[],"{""acc_lim_theta"":0.7988696221494807,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25142649933916433,""weight_obstacle"":50.056161781032564,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000169,2,t11-test-id-clear-straight,test_id,101,201,30.0,1.145502946388673,26.189369564328384,NORMAL,NORMAL,0.0,False,0.046966356966114675,0.05418642302837762,0.05418642302837762,0.05418642302837762,False,False,[],"{""acc_lim_theta"":0.797095146713489,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25223420218752246,""weight_obstacle"":50.107523025159004,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000169,3,t11-test-id-clear-straight,test_id,101,201,30.0,0.0,600.0,NORMAL,NORMAL,19.0,False,0.11976497702034788,0.024281946190459036,0.024281946190459036,53.787157277746935,False,False,"[""ood:approximate_ttc:above"",""ood:fallback"",""safety_mode:FAULT""]","{""acc_lim_theta"":0.4,""acc_lim_x"":0.4,""inflation_dist"":0.9,""max_vel_theta"":0.5,""max_vel_x"":0.6,""min_obstacle_dist"":0.5,""weight_obstacle"":100.0,""weight_optimaltime"":0.5,""weight_viapoint"":2.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000170,0,t11-test-id-left,test_id,101,201,30.0,1.1656147538127186,25.73749165568657,NORMAL,NORMAL,0.0,False,0.8955232572555629,0.31343314003944633,0.31343314003944633,0.31343314003944633,False,False,[],"{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.55,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.2531007439403543,""weight_obstacle"":50.31033239609909,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000170,1,t11-test-id-left,test_id,101,201,30.0,1.1662170815995105,25.724198756250313,NORMAL,NORMAL,0.0,False,0.5527170334687905,0.1852437220745422,0.1852437220745422,0.1852437220745422,False,False,[],"{""acc_lim_theta"":0.8,""acc_lim_x"":0.8,""inflation_dist"":0.5501680537990714,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.25684176050522867,""weight_obstacle"":50.70360582847486,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000170,2,t11-test-id-left,test_id,101,201,30.0,1.168499790169377,25.67394556027385,NORMAL,NORMAL,0.0,False,0.10944494420161816,0.44604210682520096,0.44604210682520096,0.44604210682520096,False,False,[],"{""acc_lim_theta"":0.7976058486685013,""acc_lim_x"":0.8,""inflation_dist"":0.550531910445832,""max_vel_theta"":1.0,""max_vel_x"":1.2,""min_obstacle_dist"":0.26033815777024655,""weight_obstacle"":50.99382578048297,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000170,3,t11-test-id-left,test_id,101,201,30.0,1.1757376186383481,25.515897020241447,NORMAL,NORMAL,0.0,True,0.7445013632243376,0.6117101566565836,0.6125904490118894,0.6125904490118894,False,False,[],"{""acc_lim_theta"":0.7927818967475765,""acc_lim_x"":0.8,""inflation_dist"":0.5511210665279193,""max_vel_theta"":0.9991197076446942,""max_vel_x"":1.198943649173633,""min_obstacle_dist"":0.2627441956290567,""weight_obstacle"":50.92670340543978,""weight_optimaltime"":1.0,""weight_viapoint"":1.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000170,4,t11-test-id-left,test_id,101,201,30.0,0.0,600.0,NORMAL,NORMAL,19.0,True,0.616112000768132,0.13398981344130412,0.13384878232291053,53.15681453139715,False,False,"[""ood:approximate_ttc:above"",""ood:fallback"",""safety_mode:FAULT""]","{""acc_lim_theta"":0.4,""acc_lim_x"":0.4,""inflation_dist"":0.9,""max_vel_theta"":0.5,""max_vel_x"":0.6,""min_obstacle_dist"":0.5,""weight_obstacle"":100.0,""weight_optimaltime"":0.5,""weight_viapoint"":2.0}"
t11_semantic_eta_fullsafety_seed101,t11_semantic_eta_fullsafety_seed101-episode-000171,0,t11-test-id-obstacle,test_id,101,201,1.2033637220720865,1.1360567566691815,1.0592461292165043,NORMAL,WARNING,0.0,True,0.07539835773671588,0.026389425207850703,0.0281606945781242,0.0281606945781242,False,False,"[""margin:warning"",""safety_mode:WARNING:conservative_filter""]","{""acc_lim_theta"":0.8,""acc_lim_x"":0.7922262950960635,""inflation_dist"":0.5500483738154911,""max_vel_theta"":0.9982287306297265,""max_vel_x"":1.1978744767556717,""min_obstacle_dist"":0.25,""weight_obstacle"":50.0,""weight_optimaltime"":0.9835581767559052,""weight_viapoint"":1.0}"
